iteration,best_candidate,best_score,improvement,n_selected,selected_features,accepted
1,V3404,0.542308,0.262821,2,"['V4529', 'V3404']",True
2,V4581,0.657692,0.115385,3,"['V4529', 'V3404', 'V4581']",True
3,V4668,0.755128,0.097436,4,"['V4529', 'V3404', 'V4581', 'V4668']",True
4,V4681,0.771795,0.016667,5,"['V4529', 'V3404', 'V4581', 'V4668', 'V4681']",True
5,V1585,0.788462,0.016667,6,"['V4529', 'V3404', 'V4581', 'V4668', 'V4681', 'V1585']",True
6,V190,0.803846,0.015385,7,"['V4529', 'V3404', 'V4581', 'V4668', 'V4681', 'V1585', 'V190']",True
7,V2421,0.803846,0.0,7,"['V4529', 'V3404', 'V4581', 'V4668', 'V4681', 'V1585', 'V190']",False
8,V2421,0.803846,0.0,7,"['V4529', 'V3404', 'V4581', 'V4668', 'V4681', 'V1585', 'V190']",False
9,V2421,0.803846,0.0,7,"['V4529', 'V3404', 'V4581', 'V4668', 'V4681', 'V1585', 'V190']",False
